# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	22251	22653	-	XP_021337235.1		XM_021481706.1	NOP15, nucleolar protein 15		24423096	BMR1_01G00075	363	120	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	22861	27345	-						24423098	BMR1_01G00076	4485		partial;old_locus_tag=BBM_I00085
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	22861	27345	-	XM_021481761.1		XP_021337236.1	conserved Plasmodium protein, unknown function		24423098	BMR1_01G00076	4425	4425	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	22861	27345	-	XP_021337236.1		XM_021481761.1	conserved Plasmodium protein, unknown function		24423098	BMR1_01G00076	4425	1474	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	27431	28988	+						24423099	BMR1_01G00087	1558		partial;old_locus_tag=BBM_I00087
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	27431	28988	+	XM_021481815.1		XP_021337237.1	U3 small nucleolar RNA-associated protein 15 homolog		24423099	BMR1_01G00087	1434	1434	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	27431	28988	+	XP_021337237.1		XM_021481815.1	U3 small nucleolar RNA-associated protein 15 homolog		24423099	BMR1_01G00087	1434	477	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	29105	30675	-						24423100	BMR1_01G00090	1571		partial;old_locus_tag=BBM_I00090
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	29105	30675	-	XM_012791647.1		XP_012647101.1	hypothetical protein		24423100	BMR1_01G00090	1548	1548	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	29105	30675	-	XP_012647101.1		XM_012791647.1	hypothetical protein		24423100	BMR1_01G00090	1548	515	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	30801	32021	+						24423101	BMR1_01G00095	1221		partial;old_locus_tag=BBM_I00095
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	30801	32021	+	XM_012791648.1		XP_012647102.1	conserved Plasmodium protein, unknown function		24423101	BMR1_01G00095	1131	1131	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	30801	32021	+	XP_012647102.1		XM_012791648.1	conserved Plasmodium protein, unknown function		24423101	BMR1_01G00095	1131	376	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	32141	34258	-						24423102	BMR1_01G00100	2118		partial;old_locus_tag=BBM_I00100
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	32141	34258	-	XM_021481971.1		XP_021337238.1	arginyl-tRNA synthetase		24423102	BMR1_01G00100	2037	2037	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	32141	34258	-	XP_021337238.1		XM_021481971.1	arginyl-tRNA synthetase		24423102	BMR1_01G00100	2037	678	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	34377	35663	+						24423103	BMR1_01G00105	1287		partial;old_locus_tag=BBM_I00105
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	34377	35663	+	XM_021482031.1		XP_021337239.1	pseudouridylate synthase		24423103	BMR1_01G00105	1287	1287	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	34377	35663	+	XP_021337239.1		XM_021482031.1	pseudouridylate synthase		24423103	BMR1_01G00105	1287	428	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	35775	37665	+						24423104	BMR1_01G00115	1891		partial;old_locus_tag=BBM_I00115
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	35775	37665	+	XM_021482094.1		XP_021337240.1	Transcriptional repressor TCF25		24423104	BMR1_01G00115	1746	1746	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	35775	37665	+	XP_021337240.1		XM_021482094.1	Transcriptional repressor TCF25		24423104	BMR1_01G00115	1746	581	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	37977	39342	-						24423105	BMR1_01G00120	1366		partial;old_locus_tag=BBM_I00120
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	37977	39342	-	XM_012791652.1		XP_012647106.1	Actin		24423105	BMR1_01G00120	1344	1344	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	37977	39342	-	XP_012647106.1		XM_012791652.1	Actin		24423105	BMR1_01G00120	1344	447	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	39509	39982	+						24423106	BMR1_01G00125	474		partial;old_locus_tag=BBM_I00125
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	39509	39982	+	XM_012791653.1		XP_012647107.1	putative transcription factor		24423106	BMR1_01G00125	393	393	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	39509	39982	+	XP_012647107.1		XM_012791653.1	putative transcription factor		24423106	BMR1_01G00125	393	130	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	39999	41215	-						24423107	BMR1_01G00130	1217		partial;old_locus_tag=BBM_I00130
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	39999	41215	-	XM_021482236.1		XP_021337241.1	farnesyl diphosphate synthase		24423107	BMR1_01G00130	1047	1047	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	39999	41215	-	XP_021337241.1		XM_021482236.1	farnesyl diphosphate synthase		24423107	BMR1_01G00130	1047	348	
gene	tRNA	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	41222	41295	-						24423108	BMR1_01G00131	74		old_locus_tag=BBM_I00132
tRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	41222	41295	-				tRNA-Ile		24423108	BMR1_01G00131	74		
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	41794	42700	-						24423109	BMR1_01G00145	907		partial;old_locus_tag=BBM_I00145
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	41794	42700	-	XM_021482292.1		XP_021337242.1	conserved Plasmodium protein, unknown function		24423109	BMR1_01G00145	759	759	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	41794	42700	-	XP_021337242.1		XM_021482292.1	conserved Plasmodium protein, unknown function		24423109	BMR1_01G00145	759	252	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	42940	43516	+						24423110	BMR1_01G00150	577		partial;old_locus_tag=BBM_I00150
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	42940	43516	+	XM_021482350.1		XP_021337243.1	hypothetical protein		24423110	BMR1_01G00150	537	537	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	42940	43516	+	XP_021337243.1		XM_021482350.1	hypothetical protein		24423110	BMR1_01G00150	537	178	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	44155	45070	+						24423111	BMR1_01G00160	916		partial;old_locus_tag=BBM_I00160
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	44155	45070	+	XM_021482412.1		XP_021337244.1	phd finger protein, putative		24423111	BMR1_01G00160	852	852	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	44155	45070	+	XP_021337244.1		XM_021482412.1	phd finger protein, putative		24423111	BMR1_01G00160	852	283	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	45169	45792	-						24423112	BMR1_01G00165	624		partial;old_locus_tag=BBM_I00165
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	45169	45792	-	XM_021482471.1		XP_021337245.1	Ubiquitin thioesterase otu2		24423112	BMR1_01G00165	558	558	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	45169	45792	-	XP_021337245.1		XM_021482471.1	Ubiquitin thioesterase otu2		24423112	BMR1_01G00165	558	185	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	45853	46606	+						24423113	BMR1_01G00170	754		partial;old_locus_tag=BBM_I00170
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	45853	46606	+	XM_021482519.1		XP_021337246.1	DPM1, dolichol-phosphate mannosyltransferase		24423113	BMR1_01G00170	711	711	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	45853	46606	+	XP_021337246.1		XM_021482519.1	DPM1, dolichol-phosphate mannosyltransferase		24423113	BMR1_01G00170	711	236	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	46714	47288	-						33043584	BMR1_01G00171	575		partial
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	46714	47288	-	XM_021482571.1		XP_021337247.1	phosphatidylinositol N-acetylglucosaminyltransferase subunit H, putative (PIGH)		33043584	BMR1_01G00171	489	489	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	46714	47288	-	XP_021337247.1		XM_021482571.1	phosphatidylinositol N-acetylglucosaminyltransferase subunit H, putative (PIGH)		33043584	BMR1_01G00171	489	162	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	47648	49473	+						24423114	BMR1_01G00173	1826		partial;old_locus_tag=BBM_I00173
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	47648	49473	+	XM_021482609.1		XP_021337248.1	hypothetical protein		24423114	BMR1_01G00173	1599	1599	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	47648	49473	+	XP_021337248.1		XM_021482609.1	hypothetical protein		24423114	BMR1_01G00173	1599	532	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	49470	50558	-						24423115	BMR1_01G00175	1089		partial;old_locus_tag=BBM_I00175
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	49470	50558	-	XM_012791661.1		XP_012647115.1			24423115	BMR1_01G00175	1089	1089	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	49470	50558	-	XP_012647115.1		XM_012791661.1	hypothetical protein		24423115	BMR1_01G00175	1089	362	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	50782	53535	+						24423116	BMR1_01G00180	2754		partial;old_locus_tag=BBM_I00180
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	50782	53535	+	XM_021482708.1		XP_021337249.1	WD domain G-beta repeat		24423116	BMR1_01G00180	2694	2694	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	50782	53535	+	XP_021337249.1		XM_021482708.1	WD domain G-beta repeat		24423116	BMR1_01G00180	2694	897	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	53636	55685	+						24423117	BMR1_01G00185	2050		partial;old_locus_tag=BBM_I00185
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	53636	55685	+	XM_021482756.1		XP_021337250.1	ATM1 putative (not with Plasmodium)		24423117	BMR1_01G00185	1896	1896	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	53636	55685	+	XP_021337250.1		XM_021482756.1	ATM1 putative (not with Plasmodium)		24423117	BMR1_01G00185	1896	631	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	55742	56287	+						24423118	BMR1_01G00195	546		partial;old_locus_tag=BBM_I00195
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	55742	56287	+	XM_021482805.1		XP_021337251.1	Ankyrin repeats (3 copies)		24423118	BMR1_01G00195	465	465	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	55742	56287	+	XP_021337251.1		XM_021482805.1	Ankyrin repeats (3 copies)		24423118	BMR1_01G00195	465	154	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	56694	57627	+						24423119	BMR1_01G00200	934		partial;old_locus_tag=BBM_I00200
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	56694	57627	+	XM_021482836.1		XP_021337252.1	translation initiation factor eIF-4E		24423119	BMR1_01G00200	711	711	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	56694	57627	+	XP_021337252.1		XM_021482836.1	translation initiation factor eIF-4E		24423119	BMR1_01G00200	711	236	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	57672	58161	+						24423120	BMR1_01G00201	490		partial;old_locus_tag=BBM_I00205
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	57672	58161	+	XM_021482843.1		XP_021337253.1	hypothetical protein		24423120	BMR1_01G00201	399	399	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	57672	58161	+	XP_021337253.1		XM_021482843.1	hypothetical protein		24423120	BMR1_01G00201	399	132	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	58378	58889	+						33043585	BMR1_01G00201_2	512		partial
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	58378	58889	+	XM_021482849.1		XP_021337254.1	WD repeat-containing protein 55		33043585	BMR1_01G00201_2	411	411	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	58378	58889	+	XP_021337254.1		XM_021482849.1	WD repeat-containing protein 55		33043585	BMR1_01G00201_2	411	136	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	59305	67504	+						24423121	BMR1_01G00210	8200		partial;old_locus_tag=BBM_I00210
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	59305	67504	+	XM_012791667.1		XP_012647121.1	Cystein Rich Modular Protein, CRMP		24423121	BMR1_01G00210	7974	7974	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	59305	67504	+	XP_012647121.1		XM_012791667.1	Cystein Rich Modular Protein, CRMP		24423121	BMR1_01G00210	7974	2657	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	67511	69046	+						33043586	BMR1_01G00211	1536		partial
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	67511	69046	+	XM_021482860.1		XP_021337255.1	hypothetical protein		33043586	BMR1_01G00211	1428	1428	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	67511	69046	+	XP_021337255.1		XM_021482860.1	hypothetical protein		33043586	BMR1_01G00211	1428	475	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	69186	76089	+						24423122	BMR1_01G00213	6904		partial;old_locus_tag=BBM_I00213
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	69186	76089	+	XM_021482863.1		XP_021337256.1	Cystein Rich Modular Protein, CRMP		24423122	BMR1_01G00213	6738	6738	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	69186	76089	+	XP_021337256.1		XM_021482863.1	Cystein Rich Modular Protein, CRMP		24423122	BMR1_01G00213	6738	2245	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	76099	78323	+						24423123	BMR1_01G00215	2225		partial;old_locus_tag=BBM_I00215
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	76099	78323	+	XM_021482867.1		XP_021337257.1	GTP-binding protein LepA		24423123	BMR1_01G00215	1956	1956	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	76099	78323	+	XP_021337257.1		XM_021482867.1	GTP-binding protein LepA		24423123	BMR1_01G00215	1956	651	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	78336	79412	-						24423124	BMR1_01G00220	1077		partial;old_locus_tag=BBM_I00220
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	78336	79412	-	XM_021482873.1		XP_021337258.1	hypothetical protein		24423124	BMR1_01G00220	1056	1056	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	78336	79412	-	XP_021337258.1		XM_021482873.1	hypothetical protein		24423124	BMR1_01G00220	1056	351	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	79629	80903	+						24423125	BMR1_01G00225	1275		partial;old_locus_tag=BBM_I00225
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	79629	80903	+	XM_012791671.1		XP_012647125.1	ubiquinol-cytochrome c reductase cytochrome c1 subunit		24423125	BMR1_01G00225	1185	1185	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	79629	80903	+	XP_012647125.1		XM_012791671.1	ubiquinol-cytochrome c reductase cytochrome c1 subunit		24423125	BMR1_01G00225	1185	394	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	81050	82143	+						24423126	BMR1_01G00230	1094		partial;old_locus_tag=BBM_I00230
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	81050	82143	+	XM_012791672.1		XP_012647126.1	glyceraldehyde 3-phosphate dehydrogenase, GAPDH		24423126	BMR1_01G00230	1074	1074	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	81050	82143	+	XP_012647126.1		XM_012791672.1	glyceraldehyde 3-phosphate dehydrogenase, GAPDH		24423126	BMR1_01G00230	1074	357	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	82289	83467	-						24423127	BMR1_01G00231	1179		partial;old_locus_tag=BBM_I00231
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	82289	83467	-	XM_021482889.1		XP_021337259.1	hypothetical protein		24423127	BMR1_01G00231	1116	1116	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	82289	83467	-	XP_021337259.1		XM_021482889.1	hypothetical protein		24423127	BMR1_01G00231	1116	371	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	83474	84539	+						24423128	BMR1_01G00232	1066		partial;old_locus_tag=BBM_I00232
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	83474	84539	+	XM_012791674.1		XP_012647128.1	replication factor C subunit 3/5		24423128	BMR1_01G00232	1044	1044	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	83474	84539	+	XP_012647128.1		XM_012791674.1	replication factor C subunit 3/5		24423128	BMR1_01G00232	1044	347	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	84546	84925	-						33043587	BMR1_01G00233	380		partial
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	84546	84925	-	XM_021482897.1		XP_021337260.1	CCAAT-binding transcription factor, putative		33043587	BMR1_01G00233	318	318	partial
