# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	70699	72842	+						39877442	BXIN_0016	2144		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	70699	72842	+	XM_029013964.1		XP_028870271.1	uncharacterized protein		39877442	BXIN_0016	2109	2109	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	70699	72842	+	XP_028870271.1		XM_029013964.1	uncharacterized protein		39877442	BXIN_0016	2109	702	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	73127	77122	-					ttc27	39877443	BXIN_0017	3996		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	73127	77122	-	XM_029013965.1		XP_028870272.1	Tetratricopeptide repeat protein 27 -like protein	ttc27	39877443	BXIN_0017	3387	3387	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	73127	77122	-	XP_028870272.1		XM_029013965.1	Tetratricopeptide repeat protein 27 -like protein	ttc27	39877443	BXIN_0017	3387	1128	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	77290	78538	+					mrps15	39877444	BXIN_0018	1249		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	77290	78538	+	XM_029013966.1		XP_028870275.1	putative 28S ribosomal protein	mrps15	39877444	BXIN_0018	903	903	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	77290	78538	+	XP_028870275.1		XM_029013966.1	putative 28S ribosomal protein	mrps15	39877444	BXIN_0018	903	300	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	79142	79546	+						39877445	BXIN_0019	405		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	79142	79546	+	XM_029013967.1		XP_028870087.1	60S ribosomal protein L9		39877445	BXIN_0019	405	405	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	79142	79546	+	XP_028870087.1		XM_029013967.1	60S ribosomal protein L9		39877445	BXIN_0019	405	134	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	79632	80396	-						39877446	BXIN_0020	765		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	79632	80396	-	XM_029013968.1		XP_028870210.1	uncharacterized protein		39877446	BXIN_0020	561	561	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	79632	80396	-	XP_028870210.1		XM_029013968.1	uncharacterized protein		39877446	BXIN_0020	561	186	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	80959	81450	-						39877447	BXIN_0021	492		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	80959	81450	-	XM_029013969.1		XP_028870209.1	uncharacterized protein		39877447	BXIN_0021	330	330	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	80959	81450	-	XP_028870209.1		XM_029013969.1	uncharacterized protein		39877447	BXIN_0021	330	109	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	81715	82886	+						39877448	BXIN_0022	1172		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	81715	82886	+	XM_029013970.1		XP_028870212.1	uncharacterized protein		39877448	BXIN_0022	984	984	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	81715	82886	+	XP_028870212.1		XM_029013970.1	uncharacterized protein		39877448	BXIN_0022	984	327	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	83062	89028	-						39877449	BXIN_0023	5967		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	83062	89028	-	XM_029013971.1		XP_028870211.1	uncharacterized protein		39877449	BXIN_0023	5967	5967	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	83062	89028	-	XP_028870211.1		XM_029013971.1	uncharacterized protein		39877449	BXIN_0023	5967	1988	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	89606	91675	+						39877450	BXIN_0024	2070		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	89606	91675	+	XM_029013972.1		XP_028870206.1	putative asparagine synthetase domain-containing protein		39877450	BXIN_0024	1992	1992	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	89606	91675	+	XP_028870206.1		XM_029013972.1	putative asparagine synthetase domain-containing protein		39877450	BXIN_0024	1992	663	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	91824	92993	-						39877451	BXIN_0025	1170		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	91824	92993	-	XM_029013973.1		XP_028870205.1	uncharacterized protein		39877451	BXIN_0025	1170	1170	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	91824	92993	-	XP_028870205.1		XM_029013973.1	uncharacterized protein		39877451	BXIN_0025	1170	389	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	93051	94919	-						39877452	BXIN_0026	1869		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	93051	94919	-	XM_029013974.1		XP_028870208.1	uncharacterized protein		39877452	BXIN_0026	1797	1797	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	93051	94919	-	XP_028870208.1		XM_029013974.1	uncharacterized protein		39877452	BXIN_0026	1797	598	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	95300	95650	-						39877453	BXIN_0027	351		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	95300	95650	-	XM_029013975.1		XP_028870207.1	uncharacterized protein		39877453	BXIN_0027	264	264	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	95300	95650	-	XP_028870207.1		XM_029013975.1	uncharacterized protein		39877453	BXIN_0027	264	87	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	95962	97344	+						39877454	BXIN_0028	1383		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	95962	97344	+	XM_029013976.1		XP_028870204.1	uncharacterized protein		39877454	BXIN_0028	1383	1383	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	95962	97344	+	XP_028870204.1		XM_029013976.1	uncharacterized protein		39877454	BXIN_0028	1383	460	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	97611	98654	+						39877455	BXIN_0029	1044		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	97611	98654	+	XM_029013977.1		XP_028870203.1	uncharacterized protein		39877455	BXIN_0029	753	753	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	97611	98654	+	XP_028870203.1		XM_029013977.1	uncharacterized protein		39877455	BXIN_0029	753	250	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	99837	100634	+						39877456	BXIN_0030	798		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	99837	100634	+	XM_029013978.1		XP_028870232.1	Acidic leucine-rich nuclear phosphoprotein 32-related protein		39877456	BXIN_0030	798	798	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	99837	100634	+	XP_028870232.1		XM_029013978.1	Acidic leucine-rich nuclear phosphoprotein 32-related protein		39877456	BXIN_0030	798	265	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	101509	102003	+						39877457	BXIN_0031	495		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	101509	102003	+	XM_029013979.1		XP_028870233.1	uncharacterized protein		39877457	BXIN_0031	495	495	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	101509	102003	+	XP_028870233.1		XM_029013979.1	uncharacterized protein		39877457	BXIN_0031	495	164	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	102771	103705	+						39877458	BXIN_0032	935		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	102771	103705	+	XM_029013980.1		XP_028870230.1	Exosome complex component RRP41 -like protein		39877458	BXIN_0032	792	792	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	102771	103705	+	XP_028870230.1		XM_029013980.1	Exosome complex component RRP41 -like protein		39877458	BXIN_0032	792	263	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	103992	106691	-						39877459	BXIN_0033	2700		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	103992	106691	-	XM_029013981.1		XP_028870231.1	Puromycin-sensitive aminopeptidase		39877459	BXIN_0033	2700	2700	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	103992	106691	-	XP_028870231.1		XM_029013981.1	Puromycin-sensitive aminopeptidase		39877459	BXIN_0033	2700	899	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	108298	110727	+						39877460	BXIN_0034	2430		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	108298	110727	+	XM_029013982.1		XP_028870228.1	uncharacterized protein		39877460	BXIN_0034	2430	2430	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	108298	110727	+	XP_028870228.1		XM_029013982.1	uncharacterized protein		39877460	BXIN_0034	2430	809	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	111000	112208	-						39877461	BXIN_0035	1209		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	111000	112208	-	XM_029013983.1		XP_028870229.1	uncharacterized protein		39877461	BXIN_0035	1209	1209	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	111000	112208	-	XP_028870229.1		XM_029013983.1	uncharacterized protein		39877461	BXIN_0035	1209	402	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	113346	116372	-					dis32	39877462	BXIN_0036	3027		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	113346	116372	-	XM_029013984.1		XP_028870226.1	DIS3-like exonuclease 2	dis32	39877462	BXIN_0036	3027	3027	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	113346	116372	-	XP_028870226.1		XM_029013984.1	DIS3-like exonuclease 2	dis32	39877462	BXIN_0036	3027	1008	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	116591	117668	+					chmp1	39877463	BXIN_0037	1078		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	116591	117668	+	XM_029013985.1		XP_028870227.1	Charged multivesicular body protein 1	chmp1	39877463	BXIN_0037	576	576	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	116591	117668	+	XP_028870227.1		XM_029013985.1	Charged multivesicular body protein 1	chmp1	39877463	BXIN_0037	576	191	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	117859	120480	+						39877464	BXIN_0038	2622		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	117859	120480	+	XM_029013986.1		XP_028870224.1	Coatomer subunit beta'-1		39877464	BXIN_0038	2622	2622	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	117859	120480	+	XP_028870224.1		XM_029013986.1	Coatomer subunit beta'-1		39877464	BXIN_0038	2622	873	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	120654	121175	-						39877465	BXIN_0039	522		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	120654	121175	-	XM_029013987.1		XP_028870225.1	uncharacterized protein		39877465	BXIN_0039	522	522	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	120654	121175	-	XP_028870225.1		XM_029013987.1	uncharacterized protein		39877465	BXIN_0039	522	173	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	121719	122885	+						39877466	BXIN_0040	1167		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	121719	122885	+	XM_029013988.1		XP_028870170.1	uncharacterized protein		39877466	BXIN_0040	1167	1167	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	121719	122885	+	XP_028870170.1		XM_029013988.1	uncharacterized protein		39877466	BXIN_0040	1167	388	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	123084	124628	+						39877467	BXIN_0041	1545		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	123084	124628	+	XM_029013989.1		XP_028870169.1	uncharacterized protein		39877467	BXIN_0041	1545	1545	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	123084	124628	+	XP_028870169.1		XM_029013989.1	uncharacterized protein		39877467	BXIN_0041	1545	514	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	124863	126221	+					mettl14	39877468	BXIN_0042	1359		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	124863	126221	+	XM_029013990.1		XP_028870168.1	N6-adenosine-methyltransferase subunit METTL14	mettl14	39877468	BXIN_0042	1359	1359	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	124863	126221	+	XP_028870168.1		XM_029013990.1	N6-adenosine-methyltransferase subunit METTL14	mettl14	39877468	BXIN_0042	1359	452	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	126518	128261	+					shmt2	39877469	BXIN_0043	1744		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	126518	128261	+	XM_029013991.1		XP_028870167.1	Serine hydroxymethyltransferase 2	shmt2	39877469	BXIN_0043	1398	1398	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	126518	128261	+	XP_028870167.1		XM_029013991.1	Serine hydroxymethyltransferase 2	shmt2	39877469	BXIN_0043	1398	465	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	128581	130125	+						39877470	BXIN_0044	1545		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	128581	130125	+	XM_029013992.1		XP_028870166.1	putative ATP synthase subunit beta		39877470	BXIN_0044	1545	1545	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	128581	130125	+	XP_028870166.1		XM_029013992.1	putative ATP synthase subunit beta		39877470	BXIN_0044	1545	514	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	130267	132916	-					sgd1	39877471	BXIN_0045	2650		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	130267	132916	-	XM_029013993.1		XP_028870165.1	Suppressor of glycerol defect protein 1	sgd1	39877471	BXIN_0045	2391	2391	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	130267	132916	-	XP_028870165.1		XM_029013993.1	Suppressor of glycerol defect protein 1	sgd1	39877471	BXIN_0045	2391	796	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	134146	139059	+						39877472	BXIN_0046	4914		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	134146	139059	+	XM_029013994.1		XP_028870164.1	putative twinkle protein		39877472	BXIN_0046	4914	4914	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	134146	139059	+	XP_028870164.1		XM_029013994.1	putative twinkle protein		39877472	BXIN_0046	4914	1637	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	139134	140423	-						39877473	BXIN_0047	1290		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	139134	140423	-	XM_029013995.1		XP_028870163.1	uncharacterized protein		39877473	BXIN_0047	1215	1215	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	139134	140423	-	XP_028870163.1		XM_029013995.1	uncharacterized protein		39877473	BXIN_0047	1215	404	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	141497	142864	+						39877474	BXIN_0048	1368		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	141497	142864	+	XM_029013996.1		XP_028870172.1	uncharacterized protein		39877474	BXIN_0048	1368	1368	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	141497	142864	+	XP_028870172.1		XM_029013996.1	uncharacterized protein		39877474	BXIN_0048	1368	455	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	143070	144830	+						39877475	BXIN_0049	1761		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	143070	144830	+	XM_029013997.1		XP_028870171.1	uncharacterized protein		39877475	BXIN_0049	1761	1761	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	143070	144830	+	XP_028870171.1		XM_029013997.1	uncharacterized protein		39877475	BXIN_0049	1761	586	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	145252	146397	-					dut	39877476	BXIN_0050	1146		partial
