# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	18539	19605	-	XP_028864755.1		XM_029008922.1	ubiquinol-cytochrome C iron-sulfur subunit		39872282	BOVATA_000050	957	318	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	20396	21526	+						39872283	BOVATA_000060	1131		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	20396	21526	+	XM_029008923.1		XP_028864756.1	guanine nucleotide-binding subunit beta 1 homolog, putative		39872283	BOVATA_000060	1035	1035	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	20396	21526	+	XP_028864756.1		XM_029008923.1	guanine nucleotide-binding subunit beta 1 homolog, putative		39872283	BOVATA_000060	1035	344	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	20920	21255	-						39872284	BOVATA_000070	336		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	20920	21255	-	XM_029008924.1		XP_028864757.1	adenylylsulfate kinase, putative		39872284	BOVATA_000070	336	336	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	20920	21255	-	XP_028864757.1		XM_029008924.1	adenylylsulfate kinase, putative		39872284	BOVATA_000070	336	111	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	21552	22355	-						39872285	BOVATA_000080	804		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	21552	22355	-	XM_029008925.1		XP_028864758.1	DNA-directed RNA polymerase		39872285	BOVATA_000080	618	618	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	21552	22355	-	XP_028864758.1		XM_029008925.1	DNA-directed RNA polymerase		39872285	BOVATA_000080	618	205	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	22816	23091	-						39872286	BOVATA_000090	276		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	22816	23091	-	XM_029008926.1		XP_028864759.1	glycoside hydrolase family 16, putative		39872286	BOVATA_000090	276	276	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	22816	23091	-	XP_028864759.1		XM_029008926.1	glycoside hydrolase family 16, putative		39872286	BOVATA_000090	276	91	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	22844	23587	+						39872287	BOVATA_000100	744		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	22844	23587	+	XM_029008927.1		XP_028864760.1	normocyte binding protein, putative		39872287	BOVATA_000100	744	744	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	22844	23587	+	XP_028864760.1		XM_029008927.1	normocyte binding protein, putative		39872287	BOVATA_000100	744	247	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	24487	24874	+						39872288	BOVATA_000110	388		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	24487	24874	+	XM_029008928.1		XP_028864761.1	family transcriptional regulator, putative		39872288	BOVATA_000110	225	225	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	24487	24874	+	XP_028864761.1		XM_029008928.1	family transcriptional regulator, putative		39872288	BOVATA_000110	225	74	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	25433	26142	+						39872289	BOVATA_000120	710		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	25433	26142	+	XM_029008929.1		XP_028864762.1	nuclear factor NF3		39872289	BOVATA_000120	420	420	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	25433	26142	+	XP_028864762.1		XM_029008929.1	nuclear factor NF3		39872289	BOVATA_000120	420	139	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	26952	28615	+						39872290	BOVATA_000130	1664		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	26952	28615	+	XM_029008930.1		XP_028864763.1	importin alpha		39872290	BOVATA_000130	1626	1626	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	26952	28615	+	XP_028864763.1		XM_029008930.1	importin alpha		39872290	BOVATA_000130	1626	541	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	28787	31630	+						39872291	BOVATA_000140	2844		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	28787	31630	+	XM_029008931.1		XP_028864764.1	RNA recognition motif domain-containing protein		39872291	BOVATA_000140	2844	2844	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	28787	31630	+	XP_028864764.1		XM_029008931.1	RNA recognition motif domain-containing protein		39872291	BOVATA_000140	2844	947	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	32594	35281	-						39872292	BOVATA_000150	2688		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	32594	35281	-	XM_029008932.1		XP_028864765.1	WD G-beta repeat-containing protein, putative		39872292	BOVATA_000150	2688	2688	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	32594	35281	-	XP_028864765.1		XM_029008932.1	WD G-beta repeat-containing protein, putative		39872292	BOVATA_000150	2688	895	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	32900	33319	+						39872293	BOVATA_000160	420		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	32900	33319	+	XM_029008933.1		XP_028864766.1	uncharacterized protein		39872293	BOVATA_000160	420	420	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	32900	33319	+	XP_028864766.1		XM_029008933.1	uncharacterized protein		39872293	BOVATA_000160	420	139	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	36318	36994	+						39872294	BOVATA_000170	677		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	36318	36994	+	XM_029008934.1		XP_028864767.1	dynein heavy chain axonemal, putative		39872294	BOVATA_000170	597	597	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	36318	36994	+	XP_028864767.1		XM_029008934.1	dynein heavy chain axonemal, putative		39872294	BOVATA_000170	597	198	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	37157	42148	-						39872295	BOVATA_000180	4992		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	37157	42148	-	XM_029008935.1		XP_028864768.1	uncharacterized protein		39872295	BOVATA_000180	4914	4914	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	37157	42148	-	XP_028864768.1		XM_029008935.1	uncharacterized protein		39872295	BOVATA_000180	4914	1637	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	42772	43878	+						39872296	BOVATA_000190	1107		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	42772	43878	+	XM_029008936.1		XP_028864769.1	transmembrane 178A		39872296	BOVATA_000190	1107	1107	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	42772	43878	+	XP_028864769.1		XM_029008936.1	transmembrane 178A		39872296	BOVATA_000190	1107	368	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	44575	47240	+						39872297	BOVATA_000200	2666		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	44575	47240	+	XM_029008937.1		XP_028864770.1	proteasome-activating nucleotidase		39872297	BOVATA_000200	2589	2589	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	44575	47240	+	XP_028864770.1		XM_029008937.1	proteasome-activating nucleotidase		39872297	BOVATA_000200	2589	862	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	47548	50202	+						39872298	BOVATA_000210	2655		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	47548	50202	+	XM_029008938.1		XP_028864771.1	patatin family protein		39872298	BOVATA_000210	2655	2655	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	47548	50202	+	XP_028864771.1		XM_029008938.1	patatin family protein		39872298	BOVATA_000210	2655	884	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	48454	48813	-						39872299	BOVATA_000220	360		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	48454	48813	-	XM_029008939.1		XP_028864772.1	conjugative transfer protein Ti, putative		39872299	BOVATA_000220	360	360	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	48454	48813	-	XP_028864772.1		XM_029008939.1	conjugative transfer protein Ti, putative		39872299	BOVATA_000220	360	119	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	51060	52001	+						39872300	BOVATA_000230	942		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	51060	52001	+	XM_029008940.1		XP_028864773.1	uncharacterized protein		39872300	BOVATA_000230	942	942	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	51060	52001	+	XP_028864773.1		XM_029008940.1	uncharacterized protein		39872300	BOVATA_000230	942	313	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	52074	52600	-						39872301	BOVATA_000240	527		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	52074	52600	-	XM_029008941.1		XP_028864774.1	myosin light chain MLC4		39872301	BOVATA_000240	423	423	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	52074	52600	-	XP_028864774.1		XM_029008941.1	myosin light chain MLC4		39872301	BOVATA_000240	423	140	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	52952	53672	-						39872302	BOVATA_000250	721		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	52952	53672	-	XM_029008942.1		XP_028864775.1	zinc C3HC4 type RING finger domain-containing protein		39872302	BOVATA_000250	600	600	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	52952	53672	-	XP_028864775.1		XM_029008942.1	zinc C3HC4 type RING finger domain-containing protein		39872302	BOVATA_000250	600	199	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	54263	56244	-						39872303	BOVATA_000260	1982		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	54263	56244	-	XM_029008943.1		XP_028864776.1	glutamyl-tRNA amidotransferase		39872303	BOVATA_000260	1878	1878	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	54263	56244	-	XP_028864776.1		XM_029008943.1	glutamyl-tRNA amidotransferase		39872303	BOVATA_000260	1878	625	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	56366	57707	-						39872304	BOVATA_000270	1342		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	56366	57707	-	XM_029008944.1		XP_028864777.1	methionine adenosyltransferase		39872304	BOVATA_000270	1263	1263	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	56366	57707	-	XP_028864777.1		XM_029008944.1	methionine adenosyltransferase		39872304	BOVATA_000270	1263	420	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	58355	58779	+						39872305	BOVATA_000280	425		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	58355	58779	+	XM_029008945.1		XP_028864778.1	60S ribosomal protein		39872305	BOVATA_000280	387	387	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	58355	58779	+	XP_028864778.1		XM_029008945.1	60S ribosomal protein		39872305	BOVATA_000280	387	128	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	60110	63697	+						39872306	BOVATA_000290	3588		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	60110	63697	+	XM_029008946.1		XP_028864779.1	RNA-binding S1 domain-containing protein		39872306	BOVATA_000290	3552	3552	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	60110	63697	+	XP_028864779.1		XM_029008946.1	RNA-binding S1 domain-containing protein		39872306	BOVATA_000290	3552	1183	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	63814	66558	-						39872307	BOVATA_000300	2745		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	63814	66558	-	XM_029008947.1		XP_028864780.1	uncharacterized protein		39872307	BOVATA_000300	2745	2745	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	63814	66558	-	XP_028864780.1		XM_029008947.1	uncharacterized protein		39872307	BOVATA_000300	2745	914	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	65522	66022	+						39872308	BOVATA_000310	501		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	65522	66022	+	XM_029008948.1		XP_028864781.1	carbon-nitrogen hydrolase, putative		39872308	BOVATA_000310	501	501	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	65522	66022	+	XP_028864781.1		XM_029008948.1	carbon-nitrogen hydrolase, putative		39872308	BOVATA_000310	501	166	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	66395	67806	+						39872309	BOVATA_000320	1412		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	66395	67806	+	XM_029008949.1		XP_028864782.1	Piso0 005679, putative		39872309	BOVATA_000320	1113	1113	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	66395	67806	+	XP_028864782.1		XM_029008949.1	Piso0 005679, putative		39872309	BOVATA_000320	1113	370	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	66637	67752	-						39872310	BOVATA_000330	1116		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	66637	67752	-	XM_029008950.1		XP_028864783.1	uncharacterized protein		39872310	BOVATA_000330	1116	1116	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	66637	67752	-	XP_028864783.1		XM_029008950.1	uncharacterized protein		39872310	BOVATA_000330	1116	371	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	68191	72815	-						39872311	BOVATA_000340	4625		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	68191	72815	-	XM_029008951.1		XP_028864784.1	uncharacterized protein		39872311	BOVATA_000340	4317	4317	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	68191	72815	-	XP_028864784.1		XM_029008951.1	uncharacterized protein		39872311	BOVATA_000340	4317	1438	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	71466	72203	+						39872312	BOVATA_000350	738		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	71466	72203	+	XM_029008952.1		XP_028864785.1	hypothetical protein GTGU 04676, partial		39872312	BOVATA_000350	738	738	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	71466	72203	+	XP_028864785.1		XM_029008952.1	hypothetical protein GTGU 04676, partial		39872312	BOVATA_000350	738	245	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	73939	77061	+						39872313	BOVATA_000360	3123		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	73939	77061	+	XM_029008953.1		XP_028864786.1	Glutamate Leucine Phenylalanine Valine dehydrogenase family protein		39872313	BOVATA_000360	3123	3123	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	73939	77061	+	XP_028864786.1		XM_029008953.1	Glutamate Leucine Phenylalanine Valine dehydrogenase family protein		39872313	BOVATA_000360	3123	1040	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	77065	78119	-						39872314	BOVATA_000370	1055		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	77065	78119	-	XM_029008954.1		XP_028864787.1	dihydroorotase		39872314	BOVATA_000370	726	726	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	77065	78119	-	XP_028864787.1		XM_029008954.1	dihydroorotase		39872314	BOVATA_000370	726	241	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	78662	80262	-						39872315	BOVATA_000380	1601		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	78662	80262	-	XM_029008955.1		XP_028864788.1	n-acetylglucosaminyl transferase component gpi1		39872315	BOVATA_000380	1491	1491	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	78662	80262	-	XP_028864788.1		XM_029008955.1	n-acetylglucosaminyl transferase component gpi1		39872315	BOVATA_000380	1491	496	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	80724	82808	-						39872316	BOVATA_000390	2085		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	80724	82808	-	XM_029008956.1		XP_028864789.1	kinase domain containing protein		39872316	BOVATA_000390	2085	2085	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	80724	82808	-	XP_028864789.1		XM_029008956.1	kinase domain containing protein		39872316	BOVATA_000390	2085	694	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	83152	84579	+						39872317	BOVATA_000400	1428		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	83152	84579	+	XM_029008957.1		XP_028864790.1	mannose-6-phosphate isomerase		39872317	BOVATA_000400	1428	1428	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	83152	84579	+	XP_028864790.1		XM_029008957.1	mannose-6-phosphate isomerase		39872317	BOVATA_000400	1428	475	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	85496	86260	-						39872318	BOVATA_000410	765		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	85496	86260	-	XM_029008958.1		XP_028864791.1	uncharacterized protein		39872318	BOVATA_000410	765	765	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	85496	86260	-	XP_028864791.1		XM_029008958.1	uncharacterized protein		39872318	BOVATA_000410	765	254	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	86925	88827	+						39872319	BOVATA_000420	1903		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	86925	88827	+	XM_029008959.1		XP_028864792.1	Extracellular matrix-binding ebh, putative		39872319	BOVATA_000420	1872	1872	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	86925	88827	+	XP_028864792.1		XM_029008959.1	Extracellular matrix-binding ebh, putative		39872319	BOVATA_000420	1872	623	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	89106	89717	+						39872320	BOVATA_000430	612		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	89106	89717	+	XM_029008960.1		XP_028864793.1	uncharacterized protein		39872320	BOVATA_000430	612	612	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	89106	89717	+	XP_028864793.1		XM_029008960.1	uncharacterized protein		39872320	BOVATA_000430	612	203	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	89752	99809	-						39872321	BOVATA_000440	10058		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	89752	99809	-	XM_029008961.1		XP_028864794.1	Extracellular matrix-binding ebh		39872321	BOVATA_000440	9765	9765	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	89752	99809	-	XP_028864794.1		XM_029008961.1	Extracellular matrix-binding ebh		39872321	BOVATA_000440	9765	3254	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	90913	91581	+						39872322	BOVATA_000450	669		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	90913	91581	+	XM_029008962.1		XP_028864795.1	uncharacterized protein		39872322	BOVATA_000450	456	456	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	90913	91581	+	XP_028864795.1		XM_029008962.1	uncharacterized protein		39872322	BOVATA_000450	456	151	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	93889	94253	+						39872323	BOVATA_000460	365		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	93889	94253	+	XM_029008963.1		XP_028864796.1	DNA mismatch repair protein, putative		39872323	BOVATA_000460	339	339	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	93889	94253	+	XP_028864796.1		XM_029008963.1	DNA mismatch repair protein, putative		39872323	BOVATA_000460	339	112	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	101439	104273	-						39872324	BOVATA_000470	2835		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	101439	104273	-	XM_029008964.1		XP_028864797.1	uncharacterized protein		39872324	BOVATA_000470	2835	2835	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	101439	104273	-	XP_028864797.1		XM_029008964.1	uncharacterized protein		39872324	BOVATA_000470	2835	944	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	105181	106159	-						39872325	BOVATA_000480	979		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	105181	106159	-	XM_029008965.1		XP_028864798.1	elongation factor Ts		39872325	BOVATA_000480	936	936	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	105181	106159	-	XP_028864798.1		XM_029008965.1	elongation factor Ts		39872325	BOVATA_000480	936	311	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	106909	112677	-						39872326	BOVATA_000490	5769		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	106909	112677	-	XM_029008966.1		XP_028864799.1	Sec7 domain-containing protein		39872326	BOVATA_000490	5730	5730	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	106909	112677	-	XP_028864799.1		XM_029008966.1	Sec7 domain-containing protein		39872326	BOVATA_000490	5730	1909	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	111334	111786	+						39872327	BOVATA_000500	453		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	111334	111786	+	XM_029008967.1		XP_028864800.1	nitrite reductase, putative		39872327	BOVATA_000500	453	453	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	111334	111786	+	XP_028864800.1		XM_029008967.1	nitrite reductase, putative		39872327	BOVATA_000500	453	150	
